Time,Mass flow rate supply i [kg_h],Pressure drop supply between i and e [Pa],Pressure drop return between a and i [Pa],Pressure drop return between i and h [Pa],Fluid temperature supply i [C],Fluid temperature supply h [C],Fluid temperature supply g [C],Fluid temperature supply f [C],Fluid temperature supply e [C],Fluid temperature supply SimpleDistrict_1 [C],Fluid temperature return i [C],Fluid temperature return h [C],Fluid temperature return g [C],Fluid temperature return f [C],Fluid temperature return e [C],Fluid temperature return SimpleDistrict_1 [C],Heat loss supply between i and h [W],Total heat load supplied by heat source [W]
0,8848.0,23105.32735931802,23105.327359318035,5828.0094236412115,70.0,69.93912736460116,69.8694663549557,69.76286338843477,69.5935796095618,69.4572146048356,39.48609638801186,39.51532423199056,39.47556163776915,39.43288187331328,39.390027538733214,39.45721460483561,312.6878480662856,313484.92780113366
1,8848.0,23105.32735931802,23105.327359318035,5828.0094236412115,70.0,69.93912736460116,69.8694663549557,69.76286338843477,69.5935796095618,69.4572146048356,39.48609638801186,39.51532423199056,39.47556163776915,39.43288187331328,39.390027538733214,39.45721460483561,312.6878480662856,313484.92780113366
2,8848.0,23105.32735931802,23105.327359318035,5828.0094236412115,70.0,69.93912736460116,69.8694663549557,69.76286338843477,69.5935796095618,69.4572146048356,39.48609638801186,39.51532423199056,39.47556163776915,39.43288187331328,39.390027538733214,39.45721460483561,312.6878480662856,313484.92780113366
3,8848.0,23105.32735931802,23105.327359318035,5828.0094236412115,70.0,69.93912736460116,69.8694663549557,69.76286338843477,69.5935796095618,69.4572146048356,39.48609638801186,39.51532423199056,39.47556163776915,39.43288187331328,39.390027538733214,39.45721460483561,312.6878480662856,313484.92780113366
4,8848.0,23105.32735931802,23105.327359318035,5828.0094236412115,70.0,69.93912736460116,69.8694663549557,69.76286338843477,69.5935796095618,69.4572146048356,39.48609638801186,39.51532423199056,39.47556163776915,39.43288187331328,39.390027538733214,39.45721460483561,312.6878480662856,313484.92780113366
5,8848.0,23105.32735931802,23105.327359318035,5828.0094236412115,70.0,69.93912736460116,69.8694663549557,69.76286338843477,69.5935796095618,69.4572146048356,39.48609638801186,39.51532423199056,39.47556163776915,39.43288187331328,39.390027538733214,39.45721460483561,312.6878480662856,313484.92780113366
6,8848.0,23105.32735931802,23105.327359318035,5828.0094236412115,70.0,69.93912736460116,69.8694663549557,69.76286338843477,69.5935796095618,69.4572146048356,39.48609638801186,39.51532423199056,39.47556163776915,39.43288187331328,39.390027538733214,39.45721460483561,312.6878480662856,313484.92780113366
7,8848.0,23105.32735931802,23105.327359318035,5828.0094236412115,70.0,69.93912736460116,69.8694663549557,69.76286338843477,69.5935796095618,69.4572146048356,39.48609638801186,39.51532423199056,39.47556163776915,39.43288187331328,39.390027538733214,39.45721460483561,312.6878480662856,313484.92780113366
8,8848.0,23105.32735931802,23105.327359318035,5828.0094236412115,70.0,69.93912736460116,69.8694663549557,69.76286338843477,69.5935796095618,69.4572146048356,39.48609638801186,39.51532423199056,39.47556163776915,39.43288187331328,39.390027538733214,39.45721460483561,312.6878480662856,313484.92780113366
9,8848.0,23105.32735931802,23105.327359318035,5828.0094236412115,70.0,69.93912736460116,69.8694663549557,69.76286338843477,69.5935796095618,69.4572146048356,39.48609638801186,39.51532423199056,39.47556163776915,39.43288187331328,39.390027538733214,39.45721460483561,312.6878480662856,313484.92780113366
